created_at,username,acctdesc,location,total_tweets_created,account_creation_date,retweetcounts,hashtags,tweet_text
2021-03-29 23:30:17,Grange09991182,Unwilling Conscriptee to The Real Life Jamanji Jungle Game & Seeking The Escape Route  🐾,,19028,2020-06-23 21:29:51,3,"[{'text': 'covidfatigue', 'indices': [67, 80]}, {'text': 'clairebyrnelive', 'indices': [82, 98]}]",When Luke O’Neill comes on this is all I see 🤤 #covidfatigue  #clairebyrnelive https://t.co/jK40x1lCxk
2021-03-29 22:47:55,KevinCrowleykc,Man in Black ⚫️ - Support #Autism - #Aspergers #itfc #ccfc84,Ireland,2449,2009-05-06 17:29:31,3,"[{'text': 'covidfatigue', 'indices': [47, 60]}, {'text': 'clairebyrnelive', 'indices': [62, 78]}]",When Luke O’Neill comes on this is all I see 🤤 #covidfatigue  #clairebyrnelive https://t.co/jK40x1lCxk
2021-03-29 22:24:16,abbie_fran,Kəwéwtawi? Penobscot. Social worker committed to ethical trauma informed practice & social justice change at macro levels. No DMs ✌🏼,"North East, USA",2789,2019-08-18 19:56:53,0,"[{'text': 'PandemicFatigue', 'indices': [38, 54]}]",This is the truth 💣 tweet of the day. #PandemicFatigue https://t.co/U0XNZwEnjK
2021-03-29 22:00:32,FlyerTalkerinA2,An eclectic journey through the Travel Miles/Points Blogosphere.,"Ann Arbor, Michigan",62250,2009-06-19 03:58:33,0,"[{'text': 'Hawaii', 'indices': [32, 39]}, {'text': 'Cities', 'indices': [55, 62]}, {'text': 'CovidFatigue', 'indices': [64, 77]}, {'text': 'Debt', 'indices': [83, 88]}, {'text': 'Emirates', 'indices': [90, 99]}, {'text': 'Travel', 'indices': [129, 136]}]","Random TBB Post from the Past - #Hawaii Opens, Highest #Cities, #CovidFatigue, USA #Debt, #Emirates Aboard Shower, Buyer Clubs - #Travel Blogger Buzz https://t.co/lzWaqHuHC3 https://t.co/Kp3i5XY6GG"
2021-03-29 21:23:06,danny47291,,"Greater Vancouver, British Columbia",9293,2011-12-25 01:58:01,0,"[{'text': 'covidfatigue', 'indices': [138, 151]}]",@j_mcelroy The holes are been dug this is just not gonna do much just wait till weather warms up it’s game over people are sick of covid. #covidfatigue
2021-03-29 21:22:36,MINITee,"Closet foodie, MINI driver, animal lover, driven by music and coffee   ✌️💜🇨🇦🎧 ☕️🇨🇦

*opinions expressed are my own",London Ontario,20144,2008-10-14 16:04:21,0,"[{'text': 'COVID19Ontario', 'indices': [55, 70]}, {'text': 'covidfatigue', 'indices': [72, 85]}]","If only Canada could get it's collective 💩 together  

#COVID19Ontario 
#covidfatigue https://t.co/9Z57ACGAc6"
2021-03-29 21:01:22,ayanaedts,The magic is in the edit...,Paris-DC-Trini,1777,2014-05-06 20:29:16,0,"[{'text': 'covidfatigue', 'indices': [190, 203]}]","After last year, I'm scared of celebrating things. I got such good news today but in the back of my mind I feel like it's too good to be true and something bad is lurking around the corner. #covidfatigue"
2021-03-29 20:40:55,MondayBlogs,"Share posts, RT others! Hashtag est. & registered by #bestselling author @RachelintheOC. RULES: Mon only, NO BOOK PROMO, NO porn. We reserve the right to NOT RT",Share blogs on Mondays. Easy! ,276003,2012-11-16 18:03:22,2,"[{'text': 'success', 'indices': [48, 56]}]","Is the unattainable definition of #success of earning an income depressing you into immobility? Try refocusing to lift you up off the couch into being quietly pleased. @PsychToday https://t.co/nuwQkCNJfd
#pandemic #MondayBlogs #LongCovid #BrainInjury #concussion #COVIDFatigue"
2021-03-29 20:09:59,FreddiSilvia,,,11,2019-11-22 19:31:38,312,[],"“see you down the road.”  i don’t care if i ever go to another globes, but i dearly hope this thing is in person next year.  i miss the meaningless red carpet nonsense and all the togetherness.  #covidfatigue #GoldenGlobes https://t.co/UqIgkU1or7"
2021-03-29 19:45:09,ShelteringGrace,"Sheltering Grace Ministry (SGM) offers a comprehensive housing program providing shelter, mentorship, resources, and guidance to homeless expectant mothers.","Marietta, GA",26966,2010-03-12 20:40:16,0,"[{'text': 'Healthtips', 'indices': [215, 226]}, {'text': 'Health', 'indices': [227, 234]}, {'text': 'pandemicfatigue', 'indices': [235, 251]}, {'text': 'shelteringgrace', 'indices': [252, 268]}]","After months of unfamiliar restrictions and guidelines, pandemic fatigue is affecting how some Americans protect their health. 
Health tips to navigate year 2 of the Pandemic. 
@PRNewswire https://t.co/PMfa2YQzib 
 #Healthtips #Health #pandemicfatigue #shelteringgrace https://t.co/iGcS6ifnA5"
2021-03-29 19:10:04,ShireenJ,Writer. eBooks: https://t.co/S9py8RJB6h Brain Injury & brainwaves: https://t.co/JDc0Tqviv2 Art Fit To Wear: https://t.co/mHvTGBhGHm Psychology Today,Toronto,88602,2008-07-11 22:55:04,2,"[{'text': 'success', 'indices': [34, 42]}, {'text': 'pandemic', 'indices': [204, 213]}, {'text': 'MondayBlogs', 'indices': [214, 226]}, {'text': 'LongCovid', 'indices': [227, 237]}, {'text': 'BrainInjury', 'indices': [238, 250]}, {'text': 'concussion', 'indices': [251, 262]}, {'text': 'COVIDFatigue', 'indices': [263, 276]}]","Is the unattainable definition of #success of earning an income depressing you into immobility? Try refocusing to lift you up off the couch into being quietly pleased. @PsychToday https://t.co/nuwQkCNJfd
#pandemic #MondayBlogs #LongCovid #BrainInjury #concussion #COVIDFatigue"
2021-03-29 18:18:13,Kyle2uSuccess,Transform your life with #success 💯 Personal development focused on success for #Millennials via @Kyle2_U,,133170,2018-01-02 05:48:06,1,"[{'text': 'COVIDBlues', 'indices': [48, 59]}, {'text': 'speakingbusiness', 'indices': [81, 98]}]","Need some help overcoming the #COVIDBlues so you can move your #speakingbusiness forward?

Here is some inspiration &amp; words of encouragement from #professionalspeaker, @JCAdventures1, to help you do that: https://t.co/xfKJLUOz8R

#success #speakertraining #speakingadvice https://t.co/BZOLuWlLFu"
2021-03-29 18:16:39,janeatkinson,I help speakers catapult their businesses. #SpeakerCoach and #Author of Wealthy Speaker 2.0,"London, Ontario",13225,2008-04-16 03:31:24,1,"[{'text': 'COVIDBlues', 'indices': [30, 41]}, {'text': 'speakingbusiness', 'indices': [63, 80]}, {'text': 'professionalspeaker', 'indices': [150, 170]}, {'text': 'success', 'indices': [234, 242]}, {'text': 'speakertraining', 'indices': [243, 259]}, {'text': 'speakingadvice', 'indices': [260, 275]}]","Need some help overcoming the #COVIDBlues so you can move your #speakingbusiness forward?

Here is some inspiration &amp; words of encouragement from #professionalspeaker, @JCAdventures1, to help you do that: https://t.co/xfKJLUOz8R

#success #speakertraining #speakingadvice https://t.co/BZOLuWlLFu"
2021-03-29 18:13:28,danny47291,,"Greater Vancouver, British Columbia",9293,2011-12-25 01:58:01,0,"[{'text': 'covidfatigue', 'indices': [159, 172]}, {'text': 'covididiots', 'indices': [174, 186]}]",@unionwill @Enigmius1 @suestroud @Fraserhealth @jjhorgan This is just a few people I know how many more work places and people dong care anymore or never did. #covidfatigue. #covididiots are you working from home or work for a big employer than you don’t know real world. Work place won’t give you mask they don’t care about covid
2021-03-29 18:04:16,hgracestewart,"Journalist, Poet, Author. I see good stories. The Ticket optioned to become a movie 🍿Strangely, Incredibly Good, 2021 Winner #TaleFlick #bookstofilm","Montreal, Canada",774,2009-01-09 21:13:33,1,[],"Hubby just brought home the drink Bubly and the three of us spent 15 minutes debating if it’s Boo-blee or Boo-blay like his name, so please everyone get vaccinated ASAP so we can all lead more exciting lives. #pandemicblues @MichaelBuble 😘 https://t.co/SO8y4BlIst"
2021-03-29 17:32:08,chrislongview,"Proud Montanan & Floridian. Huge nerd w/ a lab named Shelby. I raise lots of $ for stuff. Loves: Emory, Vanderbilt, Columbia, USF, beach, clearly a homo.","Florida, USA",262545,2016-11-21 05:24:53,2,[],"@chrislongview I'm telling you, it's like they've been coached by Disney's theme parks on this expectations management, and I'm not hating them for it. Right in the middle of this news of a new surge, announcing more improvements in the vaccine process can only help with #pandemicfatigue"
